#,Arrival Time,Service Start,Service End,Wait Time,Service Time,Drop Time,# Items,Mobile Payment/Credit Card,Self-Checkout,Manual Counter
1,12:30:18,12:32:15,12:34:34,01:57.0,02:19.0,0,3,1,1,0
2,12:32:53,12:35:14,12:36:36,02:21.0,01:22.0,0,74,1,1,0
3,12:34:45,12:36:36,12:39:13,01:51.0,02:37.0,0,11,1,1,0
4,12:38:49,12:39:53,12:41:03,01:04.0,01:10.0,0,11,1,1,0
5,12:39:23,12:41:21,12:44:15,01:58.0,02:54.0,0,10,1,1,0
6,12:43:35,12:44:45,12:47:01,01:10.0,02:16.0,0,35,1,1,0
7,12:44:39,0:00:00,0:00:00,01:31.0,00:00.0,12:46:10,0,1,1,0
8,12:45:01,0:00:00,0:00:00,01:17.0,00:00.0,12:46:18,0,1,1,0
9,12:45:12,12:47:18,12:49:43,02:06.0,02:25.0,0,13,1,1,0
10,12:46:19,0:00:00,0:00:00,01:08.0,00:00.0,12:47:27,0,1,1,0
11,12:48:01,12:49:48,12:52:47,01:47.0,02:59.0,0,21,1,1,0
12,12:50:18,12:52:55,12:54:01,02:37.0,01:06.0,0,9,1,1,0
13,12:52:56,12:54:21,12:56:11,01:25.0,01:50.0,0,12,1,1,0
14,12:53:59,12:56:34,12:59:27,02:35.0,02:53.0,0,15,1,1,0
15,12:58:36,12:59:42,13:01:21,01:06.0,01:39.0,0,12,1,1,0
16,13:00:29,13:02:02,13:03:50,01:33.0,01:48.0,0,43,1,1,0
17,13:02:57,13:04:27,13:05:35,01:30.0,01:08.0,0,13,1,1,0
18,13:03:56,13:06:23,13:07:29,02:27.0,01:06.0,0,36,1,1,0
19,13:06:06,13:07:48,13:09:50,01:42.0,02:02.0,0,24,1,1,0
20,13:07:34,13:10:05,13:12:46,02:31.0,02:41.0,0,36,1,1,0
21,13:10:28,13:12:49,13:14:25,02:21.0,01:36.0,0,4,1,1,0
22,13:12:49,13:15:15,13:17:38,02:26.0,02:23.0,0,14,1,1,0
23,13:16:16,13:17:51,13:19:27,01:35.0,01:36.0,0,7,1,1,0
24,13:17:26,13:19:35,13:22:19,02:09.0,02:44.0,0,26,1,1,0
25,13:21:16,13:22:40,13:23:52,01:24.0,01:12.0,0,24,1,1,0
26,13:21:52,13:24:00,13:25:53,02:08.0,01:53.0,0,22,1,1,0
27,13:25:20,13:26:20,13:28:57,01:00.0,02:37.0,0,25,1,1,0
28,13:28:22,13:29:32,13:31:08,01:10.0,01:36.0,0,9,1,1,0
29,13:29:08,13:32:07,13:34:59,02:59.0,02:52.0,0,12,1,1,0
30,13:33:49,13:35:27,13:38:00,01:38.0,02:33.0,0,20,1,1,0
31,13:36:10,13:38:29,13:40:26,02:19.0,01:57.0,0,35,1,1,0
32,13:37:37,13:40:31,13:43:01,02:54.0,02:30.0,0,34,1,1,0
33,13:42:07,13:43:27,13:44:37,01:20.0,01:10.0,0,5,1,1,0
34,13:43:19,13:45:31,13:47:23,02:12.0,01:52.0,0,2,1,1,0
35,13:45:11,13:47:54,13:49:32,02:43.0,01:38.0,0,25,1,1,0
36,13:48:11,13:50:03,13:52:54,01:52.0,02:51.0,0,17,1,1,0
37,13:50:20,13:53:18,13:55:18,02:58.0,02:00.0,0,3,1,1,0
38,13:54:43,13:56:12,13:58:31,01:29.0,02:19.0,0,25,1,1,0
39,13:58:13,13:59:13,14:01:40,01:00.0,02:27.0,0,2,1,1,0
40,13:59:26,14:01:54,14:04:48,02:28.0,02:54.0,0,27,1,1,0
41,14:03:37,14:05:42,14:08:27,02:05.0,02:45.0,0,2,1,1,0
42,14:06:11,14:09:04,14:11:49,02:53.0,02:45.0,0,20,1,1,0
43,14:09:43,14:12:25,14:13:32,02:42.0,01:07.0,0,34,1,1,0
44,14:13:04,14:14:31,14:15:36,01:27.0,01:05.0,0,2,1,1,0
45,14:13:58,14:15:55,14:18:54,01:57.0,02:59.0,0,4,1,1,0
46,14:16:31,14:19:13,14:20:18,02:42.0,01:05.0,0,27,1,1,0
47,14:19:04,14:21:10,14:24:08,02:06.0,02:58.0,0,30,1,1,0
48,14:22:28,14:24:25,14:27:05,01:57.0,02:40.0,0,11,1,1,0
49,14:25:18,14:27:18,14:30:15,02:00.0,02:57.0,0,4,1,1,0
50,14:29:18,14:31:05,14:32:56,01:47.0,01:51.0,0,19,1,1,0
51,15:08:08,15:09:28,15:10:37,01:20.0,01:09.0,0,20,1,1,0
52,15:12:36,15:13:03,15:15:23,00:27.0,02:20.0,0,4,1,1,0
53,15:16:41,15:18:04,15:20:59,01:23.0,02:55.0,0,18,1,1,0
54,15:23:00,15:23:40,15:26:26,00:40.0,02:46.0,0,38,1,1,0
55,15:28:29,15:29:23,15:31:57,00:54.0,02:34.0,0,32,1,1,0
56,15:33:08,15:34:34,15:35:34,01:26.0,01:00.0,0,11,1,1,0
57,15:34:42,15:36:37,15:38:06,01:55.0,01:29.0,0,23,1,1,0
58,15:37:53,15:39:10,15:40:13,01:17.0,01:03.0,0,20,1,1,0
59,15:39:48,15:41:14,15:43:19,01:26.0,02:05.0,0,5,1,1,0
60,15:44:54,15:46:00,15:48:06,01:06.0,02:06.0,0,32,1,1,0
61,15:48:19,15:50:17,15:53:03,01:58.0,02:46.0,0,23,1,1,0
62,15:54:07,15:55:39,15:57:30,01:32.0,01:51.0,0,22,1,1,0
63,15:58:25,16:00:16,16:01:59,01:51.0,01:43.0,0,19,1,1,0
64,16:02:46,16:04:14,16:06:00,01:28.0,01:46.0,0,12,1,1,0
65,16:08:04,16:08:25,16:09:54,00:21.0,01:29.0,0,25,1,1,0
66,16:11:38,16:12:52,16:15:17,01:14.0,02:25.0,0,15,1,1,0
67,16:16:28,16:18:00,16:20:49,01:32.0,02:49.0,0,17,1,1,0
68,16:33:28,16:33:50,16:36:19,00:22.0,02:29.0,0,28,1,1,0
69,16:38:03,16:38:34,16:41:17,00:31.0,02:43.0,0,14,1,1,0
70,16:43:47,16:43:58,16:45:12,00:11.0,01:14.0,0,39,1,1,0
71,16:45:36,16:46:16,16:47:42,00:40.0,01:26.0,0,8,1,1,0
72,16:49:19,16:50:32,16:51:51,01:13.0,01:19.0,0,2,1,1,0
73,16:52:45,16:54:33,16:56:48,01:48.0,02:15.0,0,4,1,1,0
